rank,year,airport,code,location,country,total_passengers,address,latitude,longitude,lat_lng
1,2014,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,96178899,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2014,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,86128270,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2014,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,73408489,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
4,2014,Tokyo Haneda Airport,HND/RJTT,"Ota, Tokyo",Japan,72826565,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
5,2014,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,70663265,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
6,2014,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,70475636,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
7,2014,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,69999010,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
8,2014,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,63813756,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
9,2014,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,63554402,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
10,2014,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,63121786,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
11,2014,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,59566132,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
12,2014,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Banten",Indonesia,57221169,"Soekarno-Hatta International Airport (CGK), Kota Tangerang, Banten 19120, Indonesia",-6.1275282,106.6537058,"[-6.1275282, 106.6537058]"
13,2014,Istanbul Atat rk Airport,IST/LTBA,Istanbul,Turkey,56767108,"Yeşilköy, Istanbul Ataturk Airport (ISL), 34149 Bakırköy/İstanbul, Turkey",40.9829888,28.8104425,"[40.9829888, 28.8104425]"
14,2014,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,54978023,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
15,2014,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,54780346,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
16,2014,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,54093000,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
17,2014,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,53472514,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
18,2014,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States,53254533,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
19,2014,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,51687894,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
20,2014,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,48930409,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
21,2014,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,47114631,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
22,2014,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,46423352,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
23,2014,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,45662322,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
24,2014,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,44279504,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
25,2014,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,42869517,"McCarran International Airport (LAS), 5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA",36.0839998,-115.1537389,"[36.0839998, -115.1537389]"
26,2014,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,42125212,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
27,2014,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,41822863,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
28,2014,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,41239700,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
29,2014,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,40941879,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
30,2014,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,39765714,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
31,2014,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,39752819,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
32,2014,Munich Airport,MUC/EDDM,"Freising, Bavaria",Germany,39700515,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
33,2014,Sydney Kingsford-Smith Airport,SYD/YSSY,"Mascot, Sydney, New South Wales",Australia,38863380,"Sydney Airport (SYD), Sydney NSW 2020, Australia",-33.9399228,151.1752764,"[-33.9399228, 151.1752764]"
34,2014,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,38569088,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
35,2014,Leonardo da Vinci Fiumicino Airport,FCO/LIRF,"Fiumicino, Lazio",Italy,38506467,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
