rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
1,2012,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,94956643,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2012,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,81929359,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2012,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,70037417,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
4,2012,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,67788722,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
5,2012,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,66834931,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
6,2012,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,63688121,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
7,2012,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,61611934,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
8,2012,Dallas-Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,58591842,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
9,2012,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Tangerang, Banten",Indonesia,57730732,"Pajang, Benda, Tangerang City, Banten 15126, Indonesia",-6.126647800000001,106.6554719,"[-6.126647800000001, 106.6554719]"
10,2012,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,57684550,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
11,2012,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,57520001,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
12,2012,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,56064248,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
13,2012,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,53156278,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
14,2012,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,53002328,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
15,2012,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,51181804,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
16,2012,Amsterdam Schiphol Airport,AMS/EHAM,"Haarlemmermeer, North Holland",Netherlands,51035590,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
17,2012,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States,49293587,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
18,2012,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,48548430,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
19,2012,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,45175501,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
20,2012,Atat rk International Airport,IST/LTBA,Istanbul,Turkey,44992420,not found,not found,not found,"['not found', 'not found']"
21,2012,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,44880164,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
22,2012,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,44431894,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
23,2012,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,41666527,"McCarran International Airport (LAS), Terminal 1, 5757 Wayne Newton Blvd, Las Vegas, NV 89119, United States",36.0848353,-115.1505854,"[36.0848353, -115.1505854]"
24,2012,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,41226035,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
25,2012,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,40452009,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
26,2012,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,40022736,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
27,2012,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,39887866,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
28,2012,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,39467444,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
29,2012,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,39154375,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
30,2012,Munich Airport,MUC/EDDM,"Munich, Bavaria",Germany,38360604,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
31,2012,Sydney Airport,SYD/YSSY,"Sydney, New South Wales",Australia,37342798,"Sydney Airport (SYD), 8 Arrival Ct, Mascot NSW 2020, Australia",-33.9344521,151.1656388,"[-33.9344521, 151.1656388]"
32,2012,Leonardo da Vinci-Fiumicino Airport,FCO/LIRF,"Fiumicino, Rome",Italy,36980161,"Leonardo da Vinci International Airport (FCO), Via dell' Aeroporto di Fiumicino, 00054 Fiumicino RM, Italy",41.7998868,12.2462384,"[41.7998868, 12.2462384]"
33,2012,Orlando International Airport,MCO/KMCO,"Orlando, Florida",United States,35214430,"Orlando International Airport (MCO), 1 Jeff Fuqua Blvd, Orlando, FL 32827, USA",28.4311577,-81.308083,"[28.4311577, -81.308083]"
34,2012,Barcelona Airport,BCN/LEBL,"Barcelona, Catalonia",Spain,35131771,"Josep Tarradellas Barcelona-El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"[41.297445, 2.0832941]"
35,2012,Toronto Pearson International Airport,YYZ/CYYZ,"Mississauga, Ontario",Canada,34912456,"Toronto Pearson International Airport (YYZ), 6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",43.67771760000001,-79.6248197,"[43.67771760000001, -79.6248197]"
36,2012,London Gatwick Airport,LGW/EGKK,"Crawley, West Sussex",United Kingdom,34222405,"Gatwick Airport (LGW), Horley, Gatwick RH6 0NP, UK",51.1536621,-0.1820629,"[51.1536621, -0.1820629]"
37,2012,Indira Gandhi International Airport,DEL/VIDP,Delhi,India,34211608,"Indira Gandhi International Airport (DEL), New Delhi, Delhi 110037, India",28.5561624,77.0999578,"[28.5561624, 77.0999578]"
38,2012,Newark Liberty International Airport,EWR/KEWR,"Newark, New Jersey",United States,33993962,"Newark Liberty International Airport (EWR), 3 Brewster Rd, Newark, NJ 07114, USA",40.6895314,-74.1744624,"[40.6895314, -74.1744624]"
39,2012,Shanghai Hongqiao International Airport,SHA/ZSSS,"Changning-Minhang, Shanghai",China,33828726,"Shanghai Hongqiao International Airport, 2550 Hongqiao Rd, Changning, China",31.192209,121.334297,"[31.192209, 121.334297]"
40,2012,Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States,33219723,"Seattle-Tacoma International Airport (SEA), 17801 International Blvd, Seattle, WA 98158, USA",47.4502499,-122.3088165,"[47.4502499, -122.3088165]"
41,2012,Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States,33125768,"Minneapolis−Saint Paul International Airport (MSP), Minnesota, USA",44.8847554,-93.2222846,"[44.8847554, -93.2222846]"
42,2012,Narita International Airport,NRT/RJAA,"Narita, Chiba",Japan,32874530,"Narita International Airport (NRT), 1-1 Furugome, Narita, Chiba 282-0004, Japan",35.7719867,140.3928501,"[35.7719867, 140.3928501]"
43,2012,S o Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil,32477646,"Sao Paulo International Airport (GRU) - Rod. Hélio Smidt, s/nº - Aeroporto, Guarulhos - SP, 07190-100, Brazil",-23.4305731,-46.473043,"[-23.4305731, -46.473043]"
44,2012,Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States,32205358,"Detroit Metropolitan Wayne County Airport (DTW), Detroit, MI 48242, USA",42.2161722,-83.3553842,"[42.2161722, -83.3553842]"
