rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
1,2013,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,94430785,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2013,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,83712355,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2013,Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,72368030,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
4,2013,Tokyo Haneda Airport,HND/RJTT,"Ota, Tokyo",Japan,68906636,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
5,2013,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,66883271,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
6,2013,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,66702252,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
7,2013,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,66431533,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
8,2013,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,62052917,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
9,2013,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,60436266,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
10,2013,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Tangerang, Banten",Indonesia,59701543,"Pajang, Benda, Tangerang City, Banten 15126, Indonesia",-6.126647800000001,106.6554719,"[-6.126647800000001, 106.6554719]"
11,2013,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,59609414,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
12,2013,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,58036948,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
13,2013,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,53726087,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
14,2013,Amsterdam Schiphol Airport,AMS/EHAM,"Haarlemmermeer, North Holland",Netherlands,52569250,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
15,2013,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,52556359,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
16,2013,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,52450262,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
17,2013,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,51363451,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
18,2013,Atat rk International Airport,IST/LTBA,Istanbul,Turkey,51172626,not found,not found,not found,"['not found', 'not found']"
19,2013,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States,50413204,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
20,2013,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,47498157,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
21,2013,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,47189849,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
22,2013,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,44944201,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
23,2013,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,43456310,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
24,2013,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,41856787,"McCarran International Airport (LAS), 5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA",36.0839998,-115.1537389,"[36.0839998, -115.1537389]"
25,2013,Seoul Incheon International Airport,ICN/RKSI,Incheon,Republic of Korea,41679758,"Incheon International Airport (ICN), 272 Gonghang-ro, Jung-gu, Incheon, South Korea",37.4601908,126.4406957,"[37.4601908, 126.4406957]"
26,2013,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,40563071,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
