rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
1,2011,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,92389023,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2011,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,78675058,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2011,London Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,69433565,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
4,2011,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,66701241,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
5,2011,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,62584826,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2011,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,61862052,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
7,2011,Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Île-de-France",France,60970551,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
8,2011,Dallas-Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,57832495,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
9,2011,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,56436255,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
10,2011,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,53328613,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
11,2011,Denver International Airport,DEN/KDEN,"Denver, Colorado",United States,52849132,"Denver International Airport (DEN), 8500 Peña Blvd, Denver, CO 80249, USA",39.8560963,-104.6737376,"[39.8560963, -104.6737376]"
12,2011,Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Jakarta, Java",Indonesia,51533187,"Pajang, Benda, Tangerang City, Banten 15126, Indonesia",-6.126647800000001,106.6554719,"[-6.126647800000001, 106.6554719]"
13,2011,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,50977960,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
14,2011,Amsterdam Schiphol Airport,AMS/EHAM,"Haarlemmermeer, North Holland",Netherlands,49755252,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
15,2011,Madrid Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain,49653055,"Madrid-Barajas Adolfo Suárez Airport (MAD), Av de la Hispanidad, s/n, 28042 Madrid, Spain",40.4983322,-3.5675982,"[40.4983322, -3.5675982]"
16,2011,Suvarnabhumi Airport,BKK/VTBS,"Bang Phli, Samut Prakan",Thailand,47910904,"Suvarnabhumi Airport (BKK), 999 Soi Mu Ban Nakhon Thong 1, Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",13.6899991,100.7501124,"[13.6899991, 100.7501124]"
17,2011,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States,47644060,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
18,2011,Singapore Changi Airport,SIN/WSSS,Changi,Singapore,46543845,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
19,2011,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,45040340,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
20,2011,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,41447730,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
21,2011,San Francisco International Airport,SFO/KSFO,"San Mateo County, California",United States,40927786,"San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554,"[37.6213129, -122.3789554]"
22,2011,Phoenix Sky Harbor International Airport,PHX/KPHX,"Phoenix, Arizona",United States,40591948,"Phoenix Sky Harbor International Airport (PHX), 3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",33.4372686,-112.0077881,"[33.4372686, -112.0077881]"
23,2011,McCarran International Airport,LAS/KLAS,"Las Vegas, Nevada",United States,40560285,"McCarran International Airport (LAS), Terminal 1, 5757 Wayne Newton Blvd, Las Vegas, NV 89119, United States",36.0848353,-115.1505854,"[36.0848353, -115.1505854]"
24,2011,George Bush Intercontinental Airport,IAH/KIAH,"Houston, Texas",United States,40128953,"George Bush Intercontinental Airport (IAH), 2800 N Terminal Rd, Houston, TX 77032, USA",29.9902199,-95.3367827,"[29.9902199, -95.3367827]"
25,2011,Charlotte Douglas International Airport,CLT/KCLT,"Charlotte, North Carolina",United States,39043708,"Charlotte Douglas International Airport (CLT), 5501 Josh Birmingham Pkwy, Charlotte, NC 28208, USA",35.2144026,-80.9473146,"[35.2144026, -80.9473146]"
26,2011,Miami International Airport,MIA/KMIA,"Miami-Dade County, Florida",United States,38314389,"Miami International Airport (MIA), 2100 NW 42nd Ave, Miami, FL 33126, USA",25.7958723,-80.2870509,"[25.7958723, -80.2870509]"
27,2011,Munich Airport,MUC/EDDM,"Munich, Bavaria",Germany,37763701,"Munich International Airport (MUC), Nordallee 25, 85356 München, Germany",48.3536621,11.7750279,"[48.3536621, 11.7750279]"
28,2011,Kuala Lumpur International Airport,KUL/WMKK,"Sepang, Selangor",Malaysia,37704510,"Kuala Lumpur Int'l Airport (KUL), 64000 Sepang, Selangor, Malaysia",2.7455962,101.7071602,"[2.7455962, 101.7071602]"
