airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
3065,Utkela Airport,Utkela,India,\N,VEUK,20.097400665283203,83.18379974365234,680,5.5,N,Asia/Calcutta,airport,OurAirports,Utkela Airport( Bhawanipatna ),ChIJcRYOhPPzJDoRngnFbu25WRU,"Utkela Airport( Bhawanipatna ), NH201, Jujurang, Odisha 766011, India",4.2,19,not found
3066,Vishakhapatnam Airport,Vishakhapatnam,India,VTZ,VEVZ,17.721200943,83.22450256350001,15,5.5,N,Asia/Calcutta,airport,OurAirports,Visakhapatnam Airport,ChIJg6bXNRVoOToRdI1GOssFSL8,"Visakhapatnam Airport, NH 16 Opp, Viman Nagar, Visakhapatnam, Andhra Pradesh 530009, India",3.9,1795,http://www.vizagairport.in/
3067,Ziro Airport,Zero,India,ZER,VEZO,27.588301,93.828102,5403,5.5,N,Asia/Calcutta,airport,OurAirports,Ziro Advance Landing Ground,ChIJp-Uy0YdlQTcR0MVq1xQTBMQ,"Ziro Advance Landing Ground, NH13, Cona, Old Ziro, Arunachal Pradesh 791120",4.7,7,not found
3068,Cox's Bazar Airport,Cox's Bazar,Bangladesh,CXB,VGCB,21.452199935913086,91.96389770507812,12,6.0,U,Asia/Dhaka,airport,OurAirports,Cox's Bazar International Airport.,ChIJ8VlvkjzIrTARi6zmrWtCO7E,"Cox's Bazar International Airport., কক্সবাজার সদর উপজেলা, Bangladesh",3.9,462,http://www.caab.gov.bd/
3069,Shah Amanat International Airport,Chittagong,Bangladesh,CGP,VGEG,22.24959945678711,91.81330108642578,12,6.0,U,Asia/Dhaka,airport,OurAirports,Shah Amanat International Airport,ChIJIaMGeunfrDARg1bXlUbnrB8,"Shah Amanat International Airport, Potenga Rd, Chittagong 4205, Bangladesh",4.2,887,http://caab.portal.gov.bd/
3070,Ishurdi Airport,Ishurdi,Bangladesh,IRD,VGIS,24.15250015258789,89.04940032958984,45,6.0,U,Asia/Dhaka,airport,OurAirports,Ishwardi Airport (IRD),ChIJxUShLTAe_DkR1nJCp9lFs00,"Ishwardi Airport (IRD), Airport Road, Bangladesh",4.3,31,not found
3071,Jessore Airport,Jessore,Bangladesh,JSR,VGJR,23.183799743652344,89.16079711914062,20,6.0,U,Asia/Dhaka,airport,OurAirports,Jessore Airport,ChIJKZ-5WkUX_zkR29gWNCGKmZI,"Jessore Airport, Airport Bypass Road, Jessore 7400, Bangladesh",4.1,536,not found
3072,Shah Mokhdum Airport,Rajshahi,Bangladesh,RJH,VGRJ,24.43720054626465,88.61650085449219,64,6.0,U,Asia/Dhaka,airport,OurAirports,শাহ মখদুম বিমানবন্দর,ChIJx_2Zsunt-zkRwvh282gJUUs,"শাহ মখদুম বিমানবন্দর, Nowhata, Bangladesh",4.2,210,http://caab.gov.bd/airports/rajshahi
3073,Saidpur Airport,Saidpur,Bangladesh,SPD,VGSD,25.75919914245605,88.90889739990234,125,6.0,U,Asia/Dhaka,airport,OurAirports,Saidpur Airport,ChIJT4CmkYZR4zkR08MLwH8WMmA,"Saidpur Airport, Cantoment Rd, Saidpur 5310, Bangladesh",4.2,343,not found
3074,Osmany International Airport,Sylhet Osmani,Bangladesh,ZYL,VGSY,24.96319961547852,91.8667984008789,50,6.0,U,Asia/Dhaka,airport,OurAirports,"Osmani International Airport, Sylhet",ChIJTbs110pUUDcRoHOyf0nopGA,"Osmani International Airport, Sylhet, Airport Rd, Sylhet 3101, Bangladesh",4.2,473,http://www.caab.gov.bd/
