index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
2158,8482,Grabtsevo Airport,Kaluga,Russia,KLF,UUBC,54.5499992371,36.3666687012,656,N,Europe/Moscow,airport,OurAirports,International Airport Kaluga,ChIJdcCRENu4NEERp77_f4RmOwU,"International Airport Kaluga, Vzletnaya Ulitsa, д. 46, Kaluga, Kaluzhskaya oblast', Russia, 248035",3.9,54,http://klf.aero/
2159,8500,Fuerstenwalde Airport,Furstenwalde,Germany,\N,EDAL,52.3905982971,14.0972003937,184,E,Europe/Berlin,airport,OurAirports,Berlin Schönefeld Airport,ChIJAQAAAFw4qEcRwKTgi0UZ_zQ,"Berlin Schönefeld Airport (SXF), Flughafen Schönefeld, 12521 Berlin, Germany",2.2,5964,https://www.berlin-airport.de/de/reisende-sxf/index.php
2160,8544,Burke Lakefront Airport,Cleveland,United States,BKL,KBKL,41.51750183105469,-81.68329620361328,583,A,America/New_York,airport,OurAirports,Burke Lakefront Airport,ChIJ7X31HT76MIgRcJVJeXc89pI,"Burke Lakefront Airport, 1501 N Marginal Rd, Cleveland, OH 44114, USA",3.9,67,http://www.burkeairport.com/
2161,8631,Capital City Airport,Frankfort,United States,FFT,KFFT,38.18249893,-84.90470123,806,A,America/New_York,airport,OurAirports,Capital Region International Airport,ChIJ92IE8iDrIogRpweBeBXTD0Y,"Capital Region International Airport, 4100 Capitol City Blvd, Lansing, MI 48906, USA",3.6,110,http://www.flylansing.com/
2162,8661,Ostafyevo International Airport,Moscow,Russia,OSF,UUMO,55.511667,37.507222,568,N,Europe/Moscow,airport,OurAirports,Ostafyevo Airport,ChIJT2EPnPGrSkERlea1qFjl7cU,"Ostafyevo Airport, Moskva, Moscow Oblast, Russia",4.0,55,http://www.ostafyevo-airport.ru/
2163,8670,Caernarfon Airport,Caernarfon,United Kingdom,\N,EGCK,53.10181899999999,-4.337614,1,E,Europe/London,airport,OurAirports,Caernarfon Airport,ChIJPXn5my-lZUgRYZiLlTOUeVE,"Caernarfon Airport, Dinas Dinlle, Caernarfon LL54 5TP, UK",4.5,69,http://www.caernarfonairport.com/
2164,8709,Busia Airport,Busia,Kenya,\N,HKBA,0.4570850133895874,34.130279541015625,3989,U,Africa/Nairobi,airport,OurAirports,Kisumu International Airport,ChIJPSkMdaylKhgRtoQhrttrniI,"Kisumu International Airport (KIS), Kisumu - Busia Rd, Kisumu, Kenya",4.1,169,https://www.kaa.go.ke/airports/kisumu-international-airport
2165,8740,Gorno-Altaysk Airport,Gorno-Altaysk,Russia,RGK,UNBG,51.9667015076,85.8332977295,965,N,Asia/Krasnoyarsk,airport,OurAirports,95/1,ChIJ25YqLkr5xEIRNr5mxJYYNI0,"Kommunisticheskiy Prospekt, 95/1, Gorno-Altaysk, Altay Republits, Russia, 649100",4.1,74,https://taxi-service-850.business.site/
2166,8746,Moma Airport,Honuu,Russia,MQJ,UEMA,66.450861,143.261551,656,N,Asia/Srednekolymsk,airport,OurAirports,John F. Kennedy International Airport,ChIJR0lA1VBmwokR8BGfSBOyT-w,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",3.7,9874,https://www.jfkairport.com/
2167,8751,Góraszka Airport,Goraszka,Poland,\N,EPGO,52.18444061279297,21.281110763549805,361,E,Europe/Warsaw,airport,OurAirports,Warsaw Chopin Airport,ChIJ41zpQhwzGUcR0ehDaKL1xSI,"Warsaw Chopin Airport, Żwirki i Wigury 1, 00-001 Warszawa, Poland",3.8,5216,https://www.lotnisko-chopina.pl/
2168,8813,Duxford Aerodrome,Duxford,United Kingdom,QFO,EGSU,52.090801,0.131944,125,E,Europe/London,airport,OurAirports,Duxford,ChIJLYaUOJZw2EcRLTjAoVO_aXw,"Duxford, Cambridge CB22 4QR, UK",4.8,8401,http://www.iwm.org.uk/visits/iwm-duxford
2169,8820,Great Keppel Is Airport,Great Keppel Island,Australia,GKL,YGKL,-23.1833000183,150.942001343,21,U,Australia/Brisbane,airport,OurAirports,Great Keppel Island,ChIJGTmmhiLrwmsRv8goXhzLNPw,"The Esplanade, Great Keppel Island QLD 4703, Australia",4.2,193,http://www.greatkeppelislandhideaway.com.au/
2170,8821,Roper Bar Airport,Roper Bar,Australia,RPB,YRRB,-14.734814000000002,134.525485,92,U,Australia/Darwin,airport,OurAirports,6929,ChIJwZAl28pL34cRCWiGE0L3EuI,"6929 W Florissant Ave, St. Louis, MO 63136, USA",4.2,270,http://www.ropersribs.com/
2171,8825,Bamiyan Airport,Bamyan,Afghanistan,BIN,OABN,34.817001342773445,67.81700134277344,8367,N,Asia/Kabul,airport,OurAirports,2970,ChIJRYTLNgE8K4gReWO8Wr_WP60,"2970 Drew Rd, Mississauga, ON L4T 0A6, Canada",4.4,935,http://www.bamiyankabob.com/
2172,8832,Lublin Airport,Lublin,Poland,LUZ,EPLB,51.240278,22.713611,633,E,Europe/Warsaw,airport,OurAirports,Lublin Airport,ChIJfetl9HZUIkcRwO8rcr9pUjY,"Lublin Airport, Króla Jana III Sobieskiego 1, 21-040 Świdnik, Poland",3.8,465,http://airport.lublin.pl/
2173,8894,Rochester Airport,Rochester,United Kingdom,RCS,EGTO,51.35189819335938,0.5033329725265503,436,E,Europe/London,airport,OurAirports,Greater Rochester International Airport,ChIJy95oN7dM0YkRqT-WhGZOPbQ,"Greater Rochester International Airport (ROC), 1200 Brooks Ave, Rochester, NY 14624, USA",3.9,340,http://www.monroecounty.gov/airport-index.php
2174,8914,Termas de Río Hondo international Airport,Rio Hondo,Argentina,RHD,SANR,-27.4966,-64.93595,935,S,America/Cordoba,airport,OurAirports,Aeropuerto Internacional Termas de Río Hondo,ChIJE8k5go1xI5QR5KgCeVbqR5k,"Aeropuerto Internacional Termas de Río Hondo, Av. Madre de Ciudades s/n, G4200 Santiago del Estero, Argentina",3.6,56,http://www.aa2000.com.ar/riohondo
2175,8927,Lorenzo Airport,Morro de Sao Paulo,Brazil,\N,SNCL,-13.389444351196287,-38.90999984741211,3,S,America/Fortaleza,airport,OurAirports,Hartsfield-Jackson Atlanta International Airport,ChIJAVkD4S_99IgRSLCSGO-jF0E,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",3.8,7176,http://www.atl.com/
2176,8949,Mattala Rajapaksa International Airport,Mattala,Sri Lanka,HRI,VCRI,6.284467,81.124128,157,N,Asia/Colombo,airport,OurAirports,Mattala International Airport Navigation Complex,ChIJw1fz0v-g5joRDHBaRaxNUE8,"Mattala International Airport Navigation Complex, Mattala, Sri Lanka",4.1,265,http://www.airport.lk/
