index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website,total_routes
1573,5937,Al Ain International Airport,Al Ain,United Arab Emirates,AAN,OMAL,24.261699676513672,55.60919952392578,869,U,Asia/Dubai,airport,OurAirports,Al Ain International Airport,ChIJMzMCUfqzij4RLMltDgQ2otM,Al Ain International Airport (AAN) - Abu Dhabi - United Arab Emirates,4.1,167,http://www.adac.ae/english/what-we-do/airports/al-ain-international-airport,2
1574,5939,Bahawalpur Airport,Bahawalpur,Pakistan,BHV,OPBW,29.348100662231445,71.71800231933594,392,N,Asia/Karachi,airport,OurAirports,Bahawalpur Airport,ChIJKbIn6biQOzkRMSCf918OZyI,"Bahawalpur Airport (BHV), Airport Road, New Cantt Bahawalpur, Bahawalpur, Punjab, Pakistan",4.3,103,http://caapakistan.com.pk/,5
1575,5940,Chitral Airport,Chitral,Pakistan,CJL,OPCH,35.88660049438477,71.80059814453125,4920,N,Asia/Karachi,airport,OurAirports,Chitral Airport,ChIJWW9SUdJS2zgRWrq80msgSp8,"Chitral Airport, Airport Rd, Chitrāl, Chitral, Khyber Pakhtunkhwa, Pakistan",4.1,58,http://caapakistan.com.pk/,2
1576,5942,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,DEA,OPDG,29.961000442504893,70.48590087890625,492,N,Asia/Karachi,airport,OurAirports,D.G. Khan International Airport,ChIJJ99A84KoOjkR0yrrOXJ38r8,"D.G. Khan International Airport, 15 km (9.3 mi) from the city centre of Dera Ghazi Khan، Airport Rd, Pakistan",4.0,62,not found,2
1577,5949,Skardu Airport,Skardu,Pakistan,KDU,OPSD,35.33549880981445,75.53600311279297,7316,N,Asia/Karachi,airport,OurAirports,Skardu Airport,ChIJaw_Juydm5DgRxUpTfBZyjW0,"Skardu Airport, Airport Rd, Skardu, Gilgit, Gilgit-Baltistan",4.4,98,not found,1
1578,5952,Sulaymaniyah International Airport,Sulaymaniyah,Iraq,ISU,ORSU,35.5617485046,45.316738128699996,2494,U,Asia/Baghdad,airport,OurAirports,Sulaymaniyah International Airport,ChIJZ-0-8TswAEARY00XNU8C-wM,"Sulaymaniyah International Airport, 60 Malik Mahmud Ring Road, Sulaymaniyah, Iraq",4.0,318,https://www.sulairport.krd/,10
1579,5994,Kushiro Airport,Kushiro,Japan,KUH,RJCK,43.0410003662,144.192993164,327,U,Asia/Tokyo,airport,OurAirports,Kushiro Airport,ChIJjyf21YJAcl8RS6iep9wMAUc,"Kushiro Airport, 2-番地 Tsuruoka, 釧路市 Hokkaido 085-1203, Japan",3.9,185,http://www.kushiro-airport.co.jp/,5
1580,5996,Saga Airport,Saga,Japan,HSG,RJFS,33.149700164799995,130.302001953,6,N,Asia/Tokyo,airport,OurAirports,Kyushu Saga International Airport,ChIJ-61QtY01QDUR4a_NVrCN6dw,"Kyushu Saga International Airport, 9476-187 Kawasoemachi Oaza Inuido, Saga, 840-2212, Japan",3.8,257,http://saga-ab.jp/,3
1581,5997,Nagoya Airport,Nagoya,Japan,NKM,RJNA,35.255001068115234,136.92399597167972,52,U,Asia/Tokyo,airport,OurAirports,Chubu Centrair International Airport,ChIJzynM7ZN9BGARJQAsbih9mEI,"Chubu Centrair International Airport (NGO), 1 Chome-1 Centrair, Tokoname, Aichi 479-0881, Japan",4.3,1928,https://www.centrair.jp/,6
1582,5998,Iwami Airport,Iwami,Japan,IWJ,RJOW,34.676399231,131.789993286,184,U,Asia/Tokyo,airport,OurAirports,Hagi Iwami Airport,ChIJAX6nr4QiWzURbUetjKQ31VU,"Hagi Iwami Airport, イ-597 Uchidacho, Masuda, Shimane 698-0051, Japan",3.7,56,http://hagiiwami.jp/,1
1583,5999,Fukushima Airport,Fukushima,Japan,FKS,RJSF,37.22740173339844,140.43099975585938,1221,U,Asia/Tokyo,airport,OurAirports,Fukushima Airport,ChIJ__RdS9RFIGARkVWIM9rTM4s,"Fukushima Airport, Habakida-２１ Kitasugama, 玉川村 石川郡 Fukushima 963-6304, Japan",3.6,153,http://www.fks-ab.co.jp/,4
1584,6000,Odate Noshiro Airport,Odate Noshiro,Japan,ONJ,RJSR,40.1918983459,140.371002197,292,U,Asia/Tokyo,airport,OurAirports,Odate Noshiro Airport,ChIJra_Fu9K7ml8RhEGXh2fvQHE,"Odate Noshiro Airport, Karamushitai-21-144 Wakigami, Kitaakita, Akita 018-3454, Japan",3.7,83,http://onj-airterminal.com/,1
1585,6001,Shonai Airport,Shonai,Japan,SYO,RJSY,38.81219863889999,139.787002563,86,U,Asia/Tokyo,airport,OurAirports,Shonai Airport,ChIJF3ZO68UYjF8R7g7jsQC2bKM,"Shonai Airport, Murahigashi-30-3 Hamanaka, 酒田市 Yamagata 998-0112, Japan",3.6,87,http://www.shonai-airport.co.jp/,1
1586,6008,Cheongju International Airport/Cheongju Air Base (K-59/G-513),Chongju,South Korea,CJJ,RKTU,36.717008,127.498741,191,U,Asia/Seoul,airport,OurAirports,Cheongju International Airport,ChIJNfjsg5bZZDURrj2YRAJn0lw,"Cheongju International Airport, 980 오창대로 청원구 내수읍 Cheongju-si, Chungcheongbuk-do, South Korea",4.1,125,http://www.airport.co.kr/cheongju/main.do,9
1587,6018,Naga Airport,Naga,Philippines,WNP,RPUN,13.58489990234375,123.2699966430664,142,N,Asia/Manila,airport,OurAirports,Naga City Airport,ChIJIWWtM4SSoTMRTKg9MJtvWBg,"Naga City Airport (WNP), Naga Airport Rd, Pili, Camarines Sur, Philippines",3.5,64,not found,2
1588,6019,Basco Airport,Basco,Philippines,BSO,RPUO,20.4513,121.980003,291,N,\N,airport,OurAirports,Basco Airport,ChIJeYneE27AeTQRfFFew_5rbzQ,"Basco Airport (BSO), Basco, Batanes, Philippines",4.3,68,not found,2
